N,p,density,instance,CPU,objU,objL,objR,best objU,best objL,gapUL,gapBUL,gapUBL,gapBUR,optimality,nodes exp
70,23,1,3,3600.28,49.5,3.48,2.6,3.77,3.77,1322.41,7.69,92.38,31.03,0,2087
70,23,1,4,3600.58,49.7,4.45,3.46,4.85,4.85,1016.85,8.25,90.24,28.66,0,914
70,23,1,5,3600.07,48.33,4.39,3.12,4.48,4.48,1000.91,2.01,90.73,30.36,0,2106
70,35,1,1,3600.78,46.54,2.79,2.31,2.81,2.81,1568.1,0.71,93.96,17.79,0,3492
70,35,1,2,3600.75,51.05,3.05,2.54,3.16,3.16,1573.77,3.48,93.81,19.62,0,394
70,35,1,3,3600.29,48.42,2.89,2.34,3.09,3.09,1575.43,6.47,93.62,24.27,0,1762
70,35,1,4,3600.26,55.7,3.13,2.58,3.32,3.32,1679.55,5.72,94.04,22.29,0,162
70,35,1,5,3600.2,49.54,3.05,2.44,3.13,3.13,1524.26,2.56,93.68,22.04,0,2606
80,20,1,1,3600.3,53.38,4.66,3.62,4.95,4.95,1045.49,5.86,90.73,26.87,0,219
80,20,1,2,3600.29,51.43,4.04,3.09,4.3,4.3,1173.02,6.05,91.64,28.14,0,108
80,20,1,3,3600.21,49.19,4.42,3.19,4.87,4.87,1012.9,9.24,90.1,34.5,0,70
80,20,1,4,3600.36,50.33,4.42,3.25,4.66,4.66,1038.69,5.15,90.74,30.26,0,178
80,20,1,5,3600.56,53.56,3.96,2.97,4.2,4.2,1252.53,5.71,92.16,29.29,0,184
80,26,1,1,3600.57,43.93,3.97,2.87,4.2,4.2,1006.55,5.48,90.44,31.67,0,289
80,26,1,2,3600.59,50.65,3.42,3.02,3.53,3.53,1380.99,3.12,93.03,14.45,0,1608
80,26,1,3,3600.27,58.63,3.75,2.89,4.02,4.02,1463.47,6.72,93.14,28.11,0,347
80,26,1,4,3600.49,59.64,3.88,3.11,4.11,4.11,1437.11,5.6,93.11,24.33,0,120
80,26,1,5,3600.18,47.24,3.3,2.61,3.59,3.59,1331.52,8.08,92.4,27.3,0,48
80,40,1,1,3600.55,53.52,2.57,2.17,2.64,2.64,1982.49,2.65,95.07,17.8,0,108
80,40,1,2,3600.79,52.47,2.33,1.94,2.51,2.51,2151.93,7.17,95.22,22.71,0,205
80,40,1,3,3600.92,52.61,2.62,2.15,2.72,2.72,1908.02,3.68,94.83,20.96,0,105
80,40,1,4,3600.95,50.19,2.94,2.47,3.03,3.03,1607.14,2.97,93.96,18.48,0,81
80,40,1,5,3600.2,57.83,2.79,2.11,2.99,2.99,1972.76,6.69,94.83,29.43,0,109
90,22,1,1,3604.78,54.79,3.45,2.74,3.66,3.66,1488.12,5.74,93.32,25.14,0,15
90,22,1,2,3606.78,42.95,3.23,2.56,3.36,3.36,1229.72,3.87,92.18,23.81,0,11
90,22,1,3,3600.11,47.27,3.67,2.94,4.01,4.01,1188.01,8.48,91.52,26.68,0,1
90,22,1,4,3607.54,51.11,3.82,3.01,3.99,3.99,1237.96,4.26,92.19,24.56,0,7
90,22,1,5,3605.94,53.47,3.84,2.92,4.07,4.07,1292.45,5.65,92.39,28.26,0,15
90,30,1,1,3600.2,53.48,3.08,2.33,3.21,3.21,1636.36,4.05,94,27.41,0,15
90,30,1,2,3602.34,53.56,3.82,3.02,3.95,3.95,1302.09,3.29,92.63,23.54,0,7
90,30,1,3,3602.95,50.81,2.95,2.34,3.19,3.19,1622.37,7.52,93.72,26.65,0,11
90,30,1,4,3601.36,52.24,3.13,2.63,3.2,3.2,1569.01,2.19,93.87,17.81,0,7
90,30,1,5,3604.94,50.41,2.95,2.25,3.17,3.17,1608.81,6.94,93.71,29.02,0,11
90,45,1,1,3600.79,45.28,2.89,2.39,3.02,3.02,1466.78,4.3,93.33,20.86,0,11
90,45,1,2,3601.35,59.74,2.33,2.02,2.36,2.36,2463.95,1.27,96.05,14.41,0,19
90,45,1,3,3601.25,54.57,2.28,1.87,2.43,2.43,2293.42,6.17,95.55,23.05,0,41
90,45,1,4,3601.75,49.77,2.59,2.13,2.65,2.65,1821.62,2.26,94.68,19.62,0,15
90,45,1,5,3602.11,43.13,2.5,2.05,2.74,2.74,1625.2,8.76,93.65,25.18,0,11
100,25,1,1,3605.42,37.99,3.59,2.75,3.98,3.98,958.22,9.8,89.52,30.9,0,1
100,25,1,2,3603.45,52.35,3.42,2.8,3.72,3.72,1430.7,8.06,92.89,24.73,0,1
100,25,1,3,3603.41,46.19,3.16,2.52,3.42,3.42,1361.71,7.6,92.6,26.32,0,1
100,25,1,4,3602.32,60.88,3.23,2.54,3.57,3.57,1784.83,9.52,94.14,28.85,0,1
100,25,1,5,3603.39,48.23,3.18,2.58,3.43,3.43,1416.67,7.29,92.89,24.78,0,1
100,33,1,1,3603.08,50.82,3.02,2.34,3.23,3.23,1582.78,6.5,93.64,27.55,0,19
100,33,1,2,3601.17,51.17,3.23,2.65,3.44,3.44,1484.21,6.1,93.28,22.97,0,1
100,33,1,3,3600.07,48.07,2.82,2.28,2.98,2.98,1604.61,5.37,93.8,23.49,0,1
100,33,1,4,3601.61,52.81,3.16,2.59,3.43,3.43,1571.2,7.87,93.51,24.49,0,1
100,33,1,5,3600.31,57.03,2.82,2.17,2.89,2.89,1922.34,2.42,94.93,24.91,0,32
100,50,1,1,3600.29,55.05,2.88,2.43,2.99,2.99,1811.46,3.68,94.57,18.73,0,1
100,50,1,2,3600.3,51.63,2.15,1.9,2.19,2.19,2301.4,1.83,95.76,13.24,0,11
100,50,1,3,3604.55,55.75,2.34,2.05,2.52,2.52,2282.48,7.14,95.48,18.65,0,3
100,50,1,4,3605.95,48.27,2.34,2.03,2.53,2.53,1962.82,7.51,94.76,19.76,0,3
100,50,1,5,3605.77,48.56,2.31,1.98,2.45,2.45,2002.16,5.71,94.95,19.18,0,3
