N,p,density,instance,CPU,objU,objL,objR,best objU,best objL,gapUL,gapBUL,gapUBL,gapBUR,optimality,nodes exp
80,40,1,3,3600.21,2.72,2.71,2.15,2.72,2.72,0.37,0.37,0,20.96,0,20900
80,40,1,4,3600.06,3.03,3,2.47,3.03,3.03,1,0.99,0,18.48,0,23880
80,40,1,5,3600.1,2.99,2.95,2.11,2.99,2.99,1.36,1.34,0,29.43,0,10144
90,22,1,1,3605.72,6.43,3.46,2.74,3.66,3.66,85.84,5.46,43.08,25.14,0,7
90,22,1,2,3600.26,3.53,3.31,2.56,3.36,3.36,6.65,1.49,4.82,23.81,0,1
90,22,1,3,3603.56,4.67,3.74,2.94,4.01,4.01,24.87,6.73,14.13,26.68,0,1
90,22,1,4,3600.16,3.99,3.96,3.01,3.99,3.99,0.76,0.75,0,24.56,0,16588
90,22,1,5,3604.32,5.8,3.86,2.92,4.07,4.07,50.26,5.16,29.83,28.26,0,11
90,30,1,1,2006.25,3.21,3.21,2.33,3.21,3.21,0,0,0,27.41,1,248
90,30,1,2,3060.45,3.95,3.95,3.02,3.95,3.95,0,0,0,23.54,1,107
90,30,1,3,3600.33,3.2,3.14,2.34,3.19,3.19,1.91,1.57,0.31,26.65,0,1228
90,30,1,4,1689.47,3.2,3.2,2.63,3.2,3.2,0,0,0,17.81,1,1
90,30,1,5,3600.2,3.19,3.11,2.25,3.17,3.17,2.57,1.89,0.63,29.02,0,1301
90,45,1,1,3600.08,3.02,3,2.39,3.02,3.02,0.67,0.66,0,20.86,0,19863
90,45,1,2,324.93,2.36,2.36,2.02,2.36,2.36,0,0,0,14.41,1,1475
90,45,1,3,3600.57,2.43,2.4,1.87,2.43,2.43,1.25,1.23,0,23.05,0,5241
90,45,1,4,1857.99,2.65,2.65,2.13,2.65,2.65,0,0,0,19.62,1,13951
90,45,1,5,1967.14,2.74,2.74,2.05,2.74,2.74,0,0,0,25.18,1,1426
100,25,1,1,3600.11,4.2,3.81,2.75,3.98,3.98,10.24,4.27,5.24,30.9,0,1
100,25,1,2,3602.03,4.26,3.49,2.8,3.72,3.72,22.06,6.18,12.68,24.73,0,1
100,25,1,3,3600.38,3.54,3.29,2.52,3.42,3.42,7.6,3.8,3.39,26.32,0,1
100,25,1,4,3600.11,4.05,3.33,2.54,3.57,3.57,21.62,6.72,11.85,28.85,0,1
100,25,1,5,3600.31,4.2,3.24,2.58,3.43,3.43,29.63,5.54,18.33,24.78,0,1
100,33,1,1,3600.13,3.24,3.17,2.34,3.23,3.23,2.21,1.86,0.31,27.55,0,1032
100,33,1,2,3600.13,3.44,3.38,2.65,3.44,3.44,1.78,1.74,0,22.97,0,1
100,33,1,3,3600.33,3.64,2.93,2.28,2.98,2.98,24.23,1.68,18.13,23.49,0,1
100,33,1,4,3600.23,3.46,3.34,2.59,3.43,3.43,3.59,2.62,0.87,24.49,0,1
100,33,1,5,1331.55,2.89,2.88,2.17,2.89,2.89,0.35,0.35,0,24.91,1,2143
100,50,1,1,3600.19,2.99,2.96,2.43,2.99,2.99,1.01,1,0,18.73,0,2588
100,50,1,2,432.24,2.19,2.19,1.9,2.19,2.19,0,0,0,13.24,1,1
100,50,1,3,3600.15,2.52,2.49,2.05,2.52,2.52,1.2,1.19,0,18.65,0,4397
100,50,1,4,3601.43,2.53,2.51,2.03,2.53,2.53,0.8,0.79,0,19.76,0,78807
100,50,1,5,613.19,2.45,2.45,1.98,2.45,2.45,0,0,0,19.18,1,1
