N,p,density,instance,CPU,objU,objL,objR,best objU,best objL,gapUL,gapBUL,gapUBL,gapBUR,optimality,nodes exp
80,40,1,5,3600.11,2.99,2.98,2.11,2.99,2.99,0.34,0.33,0,29.43,0,15213
90,22,1,1,3602.17,6.94,3.4,2.74,3.66,3.66,104.12,7.1,47.26,25.14,0,15
90,22,1,2,3605.82,4.31,3.28,2.56,3.36,3.36,31.4,2.38,22.04,23.81,0,19
90,22,1,3,3604.36,5.59,3.76,2.94,4.01,4.01,48.67,6.23,28.26,26.68,0,3
90,22,1,4,3604.96,5.88,3.83,3.01,3.99,3.99,53.52,4.01,32.14,24.56,0,3
90,22,1,5,3600.12,4.97,3.68,2.92,4.07,4.07,35.05,9.58,18.11,28.26,0,1
90,30,1,1,1447.17,3.21,3.21,2.33,3.21,3.21,0,0,0,27.41,1,392
90,30,1,2,3600.14,3.95,3.91,3.02,3.95,3.95,1.02,1.01,0,23.54,0,2741
90,30,1,3,3600.34,3.19,3.08,2.34,3.19,3.19,3.57,3.45,0,26.65,0,32
90,30,1,4,1638.74,3.2,3.2,2.63,3.2,3.2,0,0,0,17.81,1,1329
90,30,1,5,3600.13,3.17,3.06,2.25,3.17,3.17,3.59,3.47,0,29.02,0,1078
90,45,1,1,3600.19,3.02,2.99,2.39,3.02,3.02,1,0.99,0,20.86,0,19611
90,45,1,2,1393.4,2.36,2.36,2.02,2.36,2.36,0,0,0,14.41,1,18015
90,45,1,3,3600.13,2.43,2.37,1.87,2.43,2.43,2.53,2.47,0,23.05,0,3814
90,45,1,4,1495.05,2.65,2.65,2.13,2.65,2.65,0,0,0,19.62,1,6322
90,45,1,5,3600.19,2.74,2.69,2.05,2.74,2.74,1.86,1.82,0,25.18,0,5639
100,25,1,1,3600.26,6.11,3.64,2.75,3.98,3.98,67.86,8.54,34.86,30.9,0,1
100,25,1,2,3601.9,7.28,3.46,2.8,3.72,3.72,110.4,6.99,48.9,24.73,0,1
100,25,1,3,3601.73,5.16,3.21,2.52,3.42,3.42,60.75,6.14,33.72,26.32,0,1
100,25,1,4,3601.94,6.53,3.27,2.54,3.57,3.57,99.69,8.4,45.33,28.85,0,1
100,25,1,5,3600.11,3.83,3.27,2.58,3.43,3.43,17.13,4.66,10.44,24.78,0,1
100,33,1,1,3600.34,3.74,3.07,2.34,3.23,3.23,21.82,4.95,13.64,27.55,0,1
100,33,1,2,1994.26,3.44,3.44,2.65,3.44,3.44,0,0,0,22.97,1,1
100,33,1,3,3600.37,3.63,2.86,2.28,2.98,2.98,26.92,4.03,17.91,23.49,0,1
100,33,1,4,3600.76,5.64,3.21,2.59,3.43,3.43,75.7,6.41,39.18,24.49,0,1
100,33,1,5,3602.67,2.89,2.86,2.17,2.89,2.89,1.05,1.04,0,24.91,0,1612
100,50,1,1,1343.74,2.99,2.99,2.43,2.99,2.99,0,0,0,18.73,1,1249
100,50,1,2,672.24,2.19,2.19,1.9,2.19,2.19,0,0,0,13.24,1,3110
100,50,1,3,3600.19,2.52,2.48,2.05,2.52,2.52,1.61,1.59,0,18.65,0,7621
100,50,1,4,3600.12,2.53,2.51,2.03,2.53,2.53,0.8,0.79,0,19.76,0,8876
